instruction,output,url
연구개발기관이 부담하여야 하는 현물은 언제까지 부담하여야 하는지?,"1. 협약 시 계상한 현물부담금액 총액에 따라 실제 부담하는 현물은 해당 연구개발과제의 연구개발기간 종료일(단계로 구분된 과제의 경우 단계기간)까지 부담하는 것이 원칙이며, 현물 부담 시 「국가연구개발사업 연구개발비 사용 기준」의 연구개발비 항목별 사용용도 및 사용기준을 준수하여야 함.
* 이에 따라 현물부담 확인서는 연구개발비 사용실적보고서를 제출할 때 서식에 따라 제출하여야 함
2. 다만, 연도별 현물부담금액은 협약 당시에 협약서에 계상하여야 하고, 연도별 현물부담금액을 변경하기 위해서는 「국가연구개발 사업 연구개발비 사용 기준」제73조제1항제2호에 따라 사전승인이 필요함. 따라서 만약 연구개발기간 동안(단계로 구분된 과제의 경우 단계기간) 연도별 현물부담부족액이 발생하여 차년도에 부담하려는 경우에는 사전승인을 득하여야 함",
연구개발계획서에 명시하지 않은 물품은 구매할 수 있는지?,"1. 연구 수행의 자율성을 높이는 한편, 불확실성을 내포하고 있는 연구개발의 특성을 고려하여 연구개발계획서 작성 시 세부내역을 작성하지 않고, 항목(舊 세목)별 총액만 작성하도록 개선함
2. 따라서, 연구개발과제 수행에 필요한 물품은 연구개발계획서에 명시되지 않더라도 구매가 가능합니다. 다만, 연구개발기관이 사용하는 3천만원 이상 연구시설?장비 또는 영리기관이 사용하는 연구실운영비는 연구개발계획서에 명시된 물품에 한하여 구매 가능함
* 3천만원 이상 연구시설?장비의 경우 「국가연구개발혁신법 시행규칙」 별지 제1호서식 연구개발계획서(신청용, 협약용)에 명시하고, 영리기관의 연구실운영비의 경우 「국가연구개발사업 연구개발비 사용 기준」 별지 제4호 서식 영리기관의 연구실운영비 활용?관리 계획을 첨부하여야 함
3. 한편, 연구개발기관에서는 자율성이 높아진 것에 걸맞게 책임성을 가지고 연구개발과제 수행과 무관하거나 과도한 연구개발비 사용이 발생하지 않도록 관리하여야 함",
연구비카드 사용이 불가능한 예외적인 경우에 한해 현금 또는 개인카드의 사용이 가능한지?,"1. 연구개발비는 연구개발기관의 재산이므로 연구비카드 사용이 불가능한 상황에서도 법인카드를 사용하는 것이 원칙입니다. 다만, 연구비카드 발급 수의 제한으로 여비의 사용이 어려운 경우* 및 카드사 사정 등 연구비카드 사용이 제한되는 특정 상황에서는 실무적으로 각 연구개발기관이 정하는 바에 따라 사유서, 지출결의 등을 작성하여 개인카드를 사용한 후, 이체증 등을 보관하여 개인카드 사용자에게 이체하는 것을 연구비 ‘계좌이체’로 인정할 수 있음
* 연구개발기관의 자체규정 마련이 필요함",
연구개발비 계상이 불가한 사항 중 ‘중앙행정기관의 장이 인정하지 아니한 연구개발기관 내부 연구공간 및 외부 연구공간에 대한 임차료’에서 “연구공간”의 의미는?,"1. “연구공간”은 「국가연구개발 시설·장비의 관리 등에 관한 표준지침」제2조(정의)의 연구시설장비 정의에 부합하지 않는 범용성 사무공간을 의미함
2. 연구개발과제를 수행하기 위한 범용성 사무공간은 연구개발기관이 기본적으로 갖추어야하는 것이 바람직하므로 연구개발 기관의 추가적인 연구공간 사용으로 인한 임차료에 대해서는 중앙행정기관의 장의 인정이 필요함",
참여연구자의 4대보험 기관부담금 및 퇴직급여충당금 계상 방법은?,"1. 해당 참여연구자가 연구개발과제에 참여하는 기간 동안 발생하는 4대보험 기관부담금 및 퇴직급여충당금은 직접비 중 인건비에서 계상 가능
2. 협약체결 당시 참여연구자별 4대보험 기관부담금 및 퇴직급여충당금 규모는 인건비계상률에 따라 계상하되, 이후 인건비계상률과 연동하여 변경할 필요는 없음. 이는 행정부담 경감을 위한 제도개선 사항임
* 다만, 인건비계상률이 0%인 과제에서는 4대보험 기관부담금 및 퇴직급여충당금 계상?사용불가",
참여연구자의 4대보험 기관부담금 및 퇴직급여충당금을 간접비에서 지급하는 것이 가능한지?,"1. 참여연구자의 4대보험 기관부담금 및 퇴직급여충당금은 간접비에서 지급 불가
2. 연구개발기관에서는 인건비에서 발생할 수 있는 4대보험 기관부담금 및 퇴직급여충당금은 사전에 계획 및 반영하여 4대보험 기관부담금 및 퇴직급여충당금이 부족(퇴직급여충당금의 미적립 등)하지 아니하도록 관리하여야 함",
인건비 지급을 위하여 별도의 계정을 운영할 수 있는지?,"「국가연구개발사업 연구개발비 사용 기준」 제39조?제48조?제57조에 따라, 비영리기관은 별도 계정을 운영하여 참여연구자의 인건비를 지급할 수 있습니다. 다만, 이 경우에도 인건비는 참여연구자별?연구개발과제별로 구분?관리되어야 합니다.",
정부출연기관 소속 참여연구자의 인건비가 국가연구개발혁신법 적용 이외의 재원(민간과제 등)으로 100% 확보된 경우에는 정부수탁사업 연구개발과제에서 인건비 계상이 가능한지?,"1. 「국가연구개발혁신법」과 그 하위규정에서는 참여연구자의 인건비가 민간재원으로 전액 확보되더라도 국가연구개발사업의 연구개발비에서 인건비 계상을 제한하고 있지 않는 바, 인건비 계상이 가능합니다.
2. 다만, 연구개발기관은 연구개발비의 효율적 사용을 위해 인건비가 과도하게 계상되지 않도록 관리하여 주시고, 소관 부처에서도 이사회 등을 통해 이를 관리하여 주시기 바람.",
영리기관이 인건비를 현금으로 계상 가능 여부 및 계상 가능 기간은?,"1. 중소?중견기업의 신규인력(‘연구개발과제 공고일-6개월’까지 채용한 경우 포함)은 부처의 별도 인정 없이 인건비를 현금 계상 가능
2. 그 밖의 경우, 해당 내용을 연구개발과제 협약에 명시하는 방법 등으로 부처의 인정을 받아 인건비를 현금 계상할 수 있음
3. 해당 참여연구자에 대한 인건비는 해당 연구개발과제의 종료시점까지 현금계상 가능",
기존에 연구개발과제에서 인건비를 현금으로 계상하는 영리기관은 어떤 규정을 적용해야 하는지?,"1. 중소?중견기업의 경우 신규인력은 부처(전문기관)의 별도 인정 없이 인건비를 연구개발비에서 현금으로 계상?지급할 수 있으며, 그 밖의 경우 부처(전문기관)가 인정하는 경우 인건비를 현금 계상할 수 있음
2. 다만, ’21.1.1. 이전에 체결한 협약에서 인건비 현금 계상을 허용한 경우, 별도 절차 없이 해당 협약의 종료 시까지 인건비를 현금으로 계상할 수 있음
* 다만, 현금계상 인건비 총액을 변경하는 경우 부처(전문기관)의 사전 승인 필요",
원 소속기관에서 인건비를 지급받고 있는 자가 연구개발과제에 참여연구자로 참여할 경우 참여연구자에 대한 인건비를 현금으로 계상할 수 있는지?,"1. 원 소속기관으로부터 인건비를 지급받고 있는 연구자가 공무원, ?고등교육법? 제14조제2항에 따른 교원(동법 제14조의2에 따른 강사 중 직장가입자가 아닌 자 및동법 제17조에 따른 겸임교원 및 초빙교원 등은 제외), 영리기관 소속 임직원(중소·중견기업의 신규인력 제외)인 경우에는 연구개발비에서 인건비를 현금으로 계상할 수 없음
2. 그 외의 연구자에 대해서는 연구개발기관의 특성을 고려하여 자체규정에 따라 인건비 현금계상 여부와 규모·비율 등을 정할 수 있으나, 연구개발비가 효율적으로 사용될 수 있도록 불필요하거나 과도한 인건비 현금계상이 발생하지 않도록 유의하여 주시기 바람",
"연구개발기관 A와 근로계약을 체결한 참여연구자 B의 2021년 6월 급여총액이 100만원(4대보험기관부담금 및 퇴직급여충당금 제외), 4대보험기관부담금 및 퇴직급여충당금이 20만원일 경우에, C연구개발과제에서 인건비를 40만원(4대보험기관부담금 및 퇴직급여충당금 제외)과 20만원(4대보험기관부담금 및 퇴직급여충당금)을 각각 계상하였을 경우에 총인건비계상률은?","종전은 60만원/120만원으로 50%의 참여율을 가졌지만, 현행(혁신법)에서는 40만원/100만원으로 40%의 총인건비계상률로 계산하며, 4대보험기관부담금 및 퇴직급여충당금 20만원은 총인건비계상률과 별도로 인건비에서 계상",
인건비계상률 산정 시 대학의 경우 자체규정에 따른 인건비 기준단가를 적용해도 되는가?,"대학의 경우에도 인건비계상률을 산정할 때에는 ?근로기준법?, 인사규정, 취업규칙 등 자체규정에서 정한 월 급여를 기준으로 하는 것이 원칙입니다. 다만, 연구개발과제에서 인건비를 현금으로 계상하지 않는 교원의 연봉 정보 획득에 어려움이 있는 경우에만 예외적으로 기준단가 적용을 허용합니다.",
국가연구개발사업 참여에 따른 인건비 및 학생인건비가 아닌 타 재원(민간과제 등)으로 받는 인건비는 학생연구자의 학생인건비계상률?학생인건비지급률 산정 시 포함해야 하는지?,"1. 학생연구자가 국가연구개발사업 참여의 대가로 받은 인건비(또는 학생인건비)가 아닌, 타 재원으로 얻은 소득에 대해서는 「국가연구개발혁신법」과 그 하위 규정에서 학생인건비계상률?학생인건비지급률 산정 시 포함하지 않음
2. BK21 장학금, 학술지원사업 인건비(학생인건비 포함) 및 장학금, 「고등교육법」 제14조의2에 따른 강사나 제17조에 따른 겸임교원 및 초빙교원으로 임용된 학생연구자가 강사, 겸임교원 및 초빙교원으로서 받는 인건비, 소속 학생연구자의 기타 근로소득 및 사업소득은 월별 총인건비계상률 산정 시 포함하지 않음",
근로소득이 있는 학생연구자에게 학생인건비 지급 가능한지?,「국가연구개발사업 연구개발비 사용 기준」 제40조제3항에 따라 지급 가능함,
졸업예정자가 졸업하는 월의 연구참여기간과 학생인건비계상률은 어떻게 정해야 하는지?,"졸업일 이후에는 학생 신분의 연구자가 아니므로 「국가연구개발사업 연구개발비 사용 기준」 별지 제1호 ‘학생연구자 연구참여확약서’ 작성 시 연구참여기간은 졸업일까지로 작성 필요합니다. 다만, 졸업월의 말일이 아닌 일자에 졸업하더라도 해당 월 학생인건비계상률 100%로 계상하여 졸업월 말일까지의 연구 참여에 대한 학생인건비를 지급할 수 있음. 즉, 졸업월의 학생인건비를 졸업일 기준으로 일할 계산하여 조정할 필요 없음",
"「국가연구개발사업 연구개발비 사용 기준」 제2조 제14호에 따르면 ‘연구생으로 등록한 수료생’도 학생연구자에 해당함. 다만, 별도의 연구생 제도를 마련하고 있지 않은 학교는 각 학교의 자체 인정 기준(수료 후 등록생, 수료 후 논문지도 과정으로 학기 등록한 과정생 등)에 따라 연구생으로 보고 학생인건비 지급이 가능한지?",지급 가능합니다. 「고등교육법 시행령」 제50조에 따른 수료등록제 또는 이에 유사한 제도로 학적 확인이 가능한 경우 학생연구자로 볼 수 있으며 학생연구자로서 연구 참여 및 학생인건비 지급이 가능함,
